row_no	sent_id	sentence	STARK Number of nodes	SyntComplex # tokens	nodes match?	STARK MDD	SyntComplex MDD raw	SyntComplex MDD rounded like STARK	MDD match?	STARK NDD	SyntComplex NDD raw	SyntComplex NDD rounded like STARK	NDD match?	STARK Max depth	SyntComplex MAXIMUM_TREE_DEPTH	Max depth match?	STARK N clauses	SyntComplex # clauses	N clauses match?	STARK N T-units	SyntComplex # T-units	N T-units match?	STARK Clauses/T-unit	SyntComplex Clauses/T-unit raw	SyntComplex Clauses/T-unit rounded like STARK	Clauses/T-unit match?	STARK example	STARK tree	mismatch note
11	ssj2.2.11	Začetek izvajanja programa je odvisen od podpisa sporazuma z republiškim zavodom za zdravstveno zavarovanje, po napovedih pa bi se naj to zgodilo prihodnji mesec.	26	26	yes	2.87	2.869565217391304	2.87	yes	1.32	1.3183055380843491	1.32	yes	6	6	yes	2.00	2	yes	2.00	2	yes	1.00	1.0	1.00	yes	A[Začetek] B[izvajanja] C[programa] D[je] E[odvisen] F[od] G[podpisa] H[sporazuma] I[z] J[republiškim] K[zavodom] L[za] M[zdravstveno] N[zavarovanje]O[,] P[po] Q[napovedih] R[pa] S[bi] T[se] U[naj] V[to] W[zgodilo] X[prihodnji] Y[mesec]Z[.] 	(Začetek >nmod (izvajanja >nmod programa)) <nsubj je <cop odvisen >obl (od <case podpisa >nmod (sporazuma >nmod (z <case republiškim <amod zavodom >nmod (za <case zdravstveno <amod zavarovanje)))) >parataxis (, <punct (po <case napovedih) <obl pa <advmod bi <aux se <expl naj <advmod to <nsubj zgodilo >obl (prihodnji <amod mesec)) >punct .	
12	ssj2.3.12	Piran - Čeprav je vodstvu piranske občine jasno, da je problem beguncev, ki jih je slovenska oblast evakuirala iz obleganega Sarajeva, predvsem stvar države, se je ob zadnjih zapletih županja Vojka Štular odločila, da jim bo občina po svojih močeh pomagala.	47	47	yes	6.03	6.0256410256410255	6.03	yes	1.84	1.841215911372423	1.84	yes	8	8	yes	5.00	5	yes	1.00	1	yes	5.00	5.0	5.00	yes	A[Piran] B[-] C[Čeprav] D[je] E[vodstvu] F[piranske] G[občine] H[jasno]I[,] J[da] K[je] L[problem] M[beguncev]N[,] O[ki] P[jih] Q[je] R[slovenska] S[oblast] T[evakuirala] U[iz] V[obleganega] W[Sarajeva]X[,] Y[predvsem] Z[stvar] A[države]B[,] C[se] D[je] E[ob] F[zadnjih] G[zapletih] H[županja] I[Vojka] J[Štular] K[odločila]L[,] M[da] N[jim] O[bo] P[občina] Q[po] R[svojih] S[močeh] T[pomagala]U[.] 	(Piran >punct -) <parataxis (Čeprav <mark je <cop (vodstvu >nmod (piranske <amod občine)) <obj jasno >csubj (, <punct da <mark je <cop (problem >nmod (beguncev >acl (, <punct ki <mark jih <obj je <aux (slovenska <amod oblast) <nsubj evakuirala >obl (iz <case obleganega <amod Sarajeva) >punct ,))) <nsubj predvsem <advmod stvar >nmod države) >punct ,) <advcl se <expl je <aux (ob <case zadnjih <amod zapletih) <obl (županja >nmod (Vojka >flat Štular)) <nsubj odločila >ccomp (, <punct da <mark jim <iobj bo <aux občina <nsubj (po <case svojih <det močeh) <obl pomagala) >punct .	
13	ssj2.3.13	Zato je včeraj sklicala sestanek, na katerem so ugotavljali, kako bi prišli do najprimernejše rešitve.	18	18	yes	2.07	2.0714285714285716	2.07	yes	1.28	1.284437344996359	1.28	yes	6	6	yes	3.00	3	yes	1.00	1	yes	3.00	3.0	3.00	yes	A[Zato] B[je] C[včeraj] D[sklicala] E[sestanek]F[,] G[na] H[katerem] I[so] J[ugotavljali]K[,] L[kako] M[bi] N[prišli] O[do] P[najprimernejše] Q[rešitve]R[.] 	Zato <cc je <aux včeraj <advmod sklicala >obj (sestanek >acl (, <punct (na <case katerem) <obl so <aux ugotavljali >ccomp (, <punct kako <advmod bi <aux prišli >obl (do <case najprimernejše <amod rešitve)))) >punct .	
14	ssj3.4.14	Kar zadeva podočnjake, je stvar malce bolj zapletena.	10	10	yes	2.57	2.5714285714285716	2.57	yes	0.38	0.3750670559667778	0.38	yes	4	4	yes	2.00	2	yes	2.00	2	yes	1.00	1.0	1.00	yes	A[Kar] B[zadeva] C[podočnjake]D[,] E[je] F[stvar] G[malce] H[bolj] I[zapletena]J[.] 	Kar <nsubj zadeva >obj podočnjake >parataxis (, <punct je <cop stvar <nsubj (malce <advmod bolj) <advmod zapletena) >punct .	
15	ssj3.4.15	Lahko so posledica vnetja vek, ki je pogosto pri ljudeh, ki trpijo za alergijami, lahko so posledica vnetja veznic, dehidracije, stresa, preutrujenosti …	29	29	yes	2.86	2.857142857142857	2.86	yes	1.02	1.0217452386970887	1.02	yes	7	7	yes	4.00	4	yes	2.00	2	yes	2.00	2.0	2.00	yes	A[Lahko] B[so] C[posledica] D[vnetja] E[vek]F[,] G[ki] H[je] I[pogosto] J[pri] K[ljudeh]L[,] M[ki] N[trpijo] O[za] P[alergijami]Q[,] R[lahko] S[so] T[posledica] U[vnetja] V[veznic]W[,] X[dehidracije]Y[,] Z[stresa]A[,] B[preutrujenosti] C[…] 	Lahko <advmod so <cop posledica >nmod (vnetja >nmod vek >acl (, <punct ki <mark je <cop pogosto >obl (pri <case ljudeh >acl (, <punct ki <mark trpijo >obl (za <case alergijami) >punct ,)))) >parataxis (lahko <advmod so <cop posledica >nmod (vnetja >nmod veznic >conj (, <punct dehidracije) >conj (, <punct stresa) >conj (, <punct preutrujenosti))) >punct …	
16	ssj3.4.16	Najprej je treba najti vzrok, zaradi katerega so se pojavili.	12	12	yes	2.22	2.2222222222222223	2.22	yes	0.65	0.6466781827303106	0.65	yes	6	6	yes	3.00	3	yes	1.00	1	yes	3.00	3.0	3.00	yes	A[Najprej] B[je] C[treba] D[najti] E[vzrok]F[,] G[zaradi] H[katerega] I[so] J[se] K[pojavili]L[.] 	je >advmod treba >csubj (Najprej <advmod najti >obj (vzrok >acl (, <punct (zaradi <case katerega) <obl so <aux se <expl pojavili))) >punct .	
17	ssj3.4.17	Včasih so podočnjaki tudi posledica tanke kože.	8	8	yes	2.17	2.1666666666666665	2.17	yes	0.93	0.9274088025975961	0.93	yes	3	3	yes	1.00	1	yes	1.00	1	yes	1.00	1.0	1.00	yes	A[Včasih] B[so] C[podočnjaki] D[tudi] E[posledica] F[tanke] G[kože]H[.] 	Včasih <advmod so <cop podočnjaki <nsubj tudi <advmod posledica >nmod (tanke <amod kože) >punct .	
18	ssj3.5.18	- Spoznajo osnovne značilnosti bolezni: kaj je astma in kako poteka.	13	13	yes	2.22	2.2222222222222223	2.22	yes	0.65	0.6466781827303106	0.65	yes	4	4	yes	3.00	3	yes	3.00	3	yes	1.00	1.0	1.00	yes	A[-] B[Spoznajo] C[osnovne] D[značilnosti] E[bolezni]F[:] G[kaj] H[je] I[astma] J[in] K[kako] L[poteka]M[.] 	- <punct Spoznajo >obj (osnovne <amod značilnosti >nmod bolezni) >parataxis (: <punct kaj <nsubj je <cop astma >conj (in <cc kako <advmod poteka)) >punct .	
19	ssj3.6.19	Depresivna motnja se lahko ponavlja, v takšnih primerih govorimo o ponavljajoči se depresivni motnji, ali pa poteka kot bipolarna motnja, pri kateri se obdobja depresije izmenjavajo z obdobji pretirane veselosti.	34	34	yes	2.66	2.6551724137931036	2.66	yes	1.51	1.5118572793430773	1.51	yes	7	7	yes	4.00	4	yes	3.00	3	yes	1.33	1.3333333333333333	1.33	yes	A[Depresivna] B[motnja] C[se] D[lahko] E[ponavlja]F[,] G[v] H[takšnih] I[primerih] J[govorimo] K[o] L[ponavljajoči] M[se] N[depresivni] O[motnji]P[,] Q[ali] R[pa] S[poteka] T[kot] U[bipolarna] V[motnja]W[,] X[pri] Y[kateri] Z[se] A[obdobja] B[depresije] C[izmenjavajo] D[z] E[obdobji] F[pretirane] G[veselosti]H[.] 	(Depresivna <amod motnja) <nsubj se <expl lahko <advmod ponavlja >parataxis (, <punct (v <case takšnih <det primerih) <obl govorimo >obl (o <case (ponavljajoči >nmod se) <amod depresivni <amod motnji) >punct ,) >conj (ali <cc pa <advmod poteka >obl (kot <case bipolarna <amod motnja >acl (, <punct (pri <case kateri) <obl se <expl (obdobja >nmod depresije) <nsubj izmenjavajo >obl (z <case obdobji >nmod (pretirane <amod veselosti))))) >punct .	
20	ssj3.7.20	Holistični pristop k zdravljenju, ki so ga zagovarjali vsi predavatelji, pomeni predvsem ukvarjanje s sabo.	18	18	yes	2.64	2.642857142857143	2.64	yes	1.63	1.6301427605094319	1.63	yes	5	5	yes	2.00	2	yes	1.00	1	yes	2.00	2.0	2.00	yes	A[Holistični] B[pristop] C[k] D[zdravljenju]E[,] F[ki] G[so] H[ga] I[zagovarjali] J[vsi] K[predavatelji]L[,] M[pomeni] N[predvsem] O[ukvarjanje] P[s] Q[sabo]R[.] 	(Holistični <amod pristop >nmod (k <case zdravljenju) >acl (, <punct ki <mark so <aux ga <obj zagovarjali >nsubj (vsi <det predavatelji) >punct ,)) <nsubj pomeni >obj (predvsem <advmod ukvarjanje >nmod (s <case sabo)) >punct .	
21	ssj3.7.21	"V tem duhu je Urška Lunder razložila, da je ""sporazumevanje vitalni del v procesu zdravljenja, vendar je največkrat blokirano""."	24	24	yes	2.78	2.7777777777777777	2.78	yes	1.40	1.3964897059437578	1.40	yes	4	4	yes	3.00	3	yes	2.00	2	yes	1.50	1.5	1.50	yes	"A[V] B[tem] C[duhu] D[je] E[Urška] F[Lunder] G[razložila]H[,] I[da] J[je] K[""]L[sporazumevanje] M[vitalni] N[del] O[v] P[procesu] Q[zdravljenja]R[,] S[vendar] T[je] U[največkrat] V[blokirano]W[""]X[.] "	"(V <case tem <det duhu) <obl je <aux (Urška >flat Lunder) <nsubj razložila >ccomp (, <punct da <mark je <cop "" <punct sporazumevanje <nsubj vitalni <amod del >obl (v <case procesu >nmod zdravljenja) >punct , >conj (vendar <cc je <cop največkrat <advmod blokirano)) >punct "" >punct ."	
22	ssj3.7.22	Bolnikova zaskrbljenost je pri stroki pogosto deležna površne tolažbe ali pokroviteljske drže.	13	13	yes	2.09	2.090909090909091	2.09	yes	1.43	1.4343037677960628	1.43	yes	4	4	yes	1.00	1	yes	1.00	1	yes	1.00	1.0	1.00	yes	A[Bolnikova] B[zaskrbljenost] C[je] D[pri] E[stroki] F[pogosto] G[deležna] H[površne] I[tolažbe] J[ali] K[pokroviteljske] L[drže]M[.] 	(Bolnikova <amod zaskrbljenost) <nsubj je <cop (pri <case stroki) <obl pogosto <advmod deležna >obj (površne <amod tolažbe >conj (ali <cc pokroviteljske <amod drže)) >punct .	
23	ssj3.7.23	Za obe strani pa je najbolj zadovoljiva dvosmerna komunikacija.	10	10	yes	2.00	2.0	2.00	yes	1.32	1.3195286648076292	1.32	yes	3	3	yes	1.00	1	yes	1.00	1	yes	1.00	1.0	1.00	yes	A[Za] B[obe] C[strani] D[pa] E[je] F[najbolj] G[zadovoljiva] H[dvosmerna] I[komunikacija]J[.] 	(Za <case obe <det strani) <obl pa <advmod je <cop najbolj <advmod zadovoljiva >nsubj (dvosmerna <amod komunikacija) >punct .	
24	ssj3.7.24	Opozorila je tudi na slabo komunikacijo med obema medicinskima sistemoma, ko gre za zdravljenje istega bolnika.	18	18	yes	2.73	2.7333333333333334	2.73	yes	0.35	0.34850323494900726	0.35	yes	5	5	yes	2.00	2	yes	1.00	1	yes	2.00	2.0	2.00	yes	A[Opozorila] B[je] C[tudi] D[na] E[slabo] F[komunikacijo] G[med] H[obema] I[medicinskima] J[sistemoma]K[,] L[ko] M[gre] N[za] O[zdravljenje] P[istega] Q[bolnika]R[.] 	Opozorila >aux je >obl (tudi <advmod na <case slabo <amod komunikacijo >nmod (med <case obema <det medicinskima <amod sistemoma)) >advcl (, <punct ko <mark gre >obl (za <case zdravljenje >nmod (istega <det bolnika))) >punct .	
25	ssj3.7.25	Nataša Pergar, bioenergetičarka, mojstrica poslovne komunikacije in svetovalka, pa je udeležencem razkrila povezave med čakrami, zdravjem in medsebojnimi odnosi.	24	24	yes	2.78	2.7777777777777777	2.78	yes	1.78	1.777559731967206	1.78	yes	6	6	yes	1.00	1	yes	1.00	1	yes	1.00	1.0	1.00	yes	A[Nataša] B[Pergar]C[,] D[bioenergetičarka]E[,] F[mojstrica] G[poslovne] H[komunikacije] I[in] J[svetovalka]K[,] L[pa] M[je] N[udeležencem] O[razkrila] P[povezave] Q[med] R[čakrami]S[,] T[zdravjem] U[in] V[medsebojnimi] W[odnosi]X[.] 	(Nataša >flat Pergar >appos (, <punct bioenergetičarka >conj (, <punct mojstrica >nmod (poslovne <amod komunikacije)) >conj (in <cc svetovalka) >punct ,)) <nsubj pa <advmod je <aux udeležencem <iobj razkrila >obj (povezave >nmod (med <case čakrami >conj (, <punct zdravjem) >conj (in <cc medsebojnimi <amod odnosi))) >punct .	
26	ssj3.8.26	Pri bioresonančni metodi s posebnimi elektroprevodnimi elektrodami izločijo nihanja iz obolelega telesa in to informacijo po elektrodnem kablu pripeljejo v napravo, ki poljubno spreminja nihanja.	27	27	yes	2.50	2.5	2.50	yes	1.71	1.7124569541397356	1.71	yes	5	5	yes	3.00	3	yes	2.00	2	yes	1.50	1.5	1.50	yes	A[Pri] B[bioresonančni] C[metodi] D[s] E[posebnimi] F[elektroprevodnimi] G[elektrodami] H[izločijo] I[nihanja] J[iz] K[obolelega] L[telesa] M[in] N[to] O[informacijo] P[po] Q[elektrodnem] R[kablu] S[pripeljejo] T[v] U[napravo]V[,] W[ki] X[poljubno] Y[spreminja] Z[nihanja]A[.] 	(Pri <case bioresonančni <amod metodi) <obl (s <case posebnimi <amod elektroprevodnimi <amod elektrodami) <obl izločijo >obj nihanja >obl (iz <case obolelega <amod telesa) >conj (in <cc (to <det informacijo) <obj (po <case elektrodnem <amod kablu) <obl pripeljejo >obl (v <case napravo >acl (, <punct ki <mark poljubno <advmod spreminja >obj nihanja))) >punct .	
27	ssj3.8.27	Odvisno od terapevtskega cilja nihanja informacijo oslabijo, okrepijo ali pa jo postavijo na glavo (invertirajo).	19	19	yes	2.57	2.5714285714285716	2.57	yes	1.35	1.3480221304944344	1.35	yes	4	4	yes	4.00	4	yes	4.00	4	yes	1.00	1.0	1.00	yes	A[Odvisno] B[od] C[terapevtskega] D[cilja] E[nihanja] F[informacijo] G[oslabijo]H[,] I[okrepijo] J[ali] K[pa] L[jo] M[postavijo] N[na] O[glavo] P[(]Q[invertirajo]R[)]S[.] 	(Odvisno >obl (od <case terapevtskega <amod cilja)) <parataxis nihanja <nsubj informacijo <obj oslabijo >conj (, <punct okrepijo) >conj (ali <cc pa <advmod jo <obj postavijo >obl (na <case glavo) >parataxis (( <punct invertirajo >punct ))) >punct .	
28	ssj3.8.28	Tako spremenjene informacije nihanja po dovodnem kablu pripeljejo v elektrodo, ki je navadno nameščena na bolnikovem hrbtu tako, da na njej leži.	25	25	yes	2.38	2.380952380952381	2.38	yes	1.69	1.6944814219969064	1.69	yes	6	6	yes	3.00	3	yes	1.00	1	yes	3.00	3.0	3.00	yes	A[Tako] B[spremenjene] C[informacije] D[nihanja] E[po] F[dovodnem] G[kablu] H[pripeljejo] I[v] J[elektrodo]K[,] L[ki] M[je] N[navadno] O[nameščena] P[na] Q[bolnikovem] R[hrbtu] S[tako]T[,] U[da] V[na] W[njej] X[leži]Y[.] 	((Tako <advmod spremenjene) <amod informacije >nmod nihanja) <obj (po <case dovodnem <amod kablu) <obl pripeljejo >obl (v <case elektrodo >acl (, <punct ki <mark je <cop navadno <advmod nameščena >obl (na <case bolnikovem <amod hrbtu) >advcl ((tako >punct , >fixed da) <mark (na <case njej) <obl leži))) >punct .	
29	ssj3.8.29	"Telo sprejme ""dražljaj"" in pride v resonanco s terapevtskim nihanjem."	13	13	yes	2.22	2.2222222222222223	2.22	yes	0.65	0.6466781827303106	0.65	yes	4	4	yes	2.00	2	yes	2.00	2	yes	1.00	1.0	1.00	yes	"A[Telo] B[sprejme] C[""]D[dražljaj]E[""] F[in] G[pride] H[v] I[resonanco] J[s] K[terapevtskim] L[nihanjem]M[.] "	"Telo <nsubj sprejme >obj ("" <punct dražljaj >punct "") >conj (in <cc pride >obl (v <case resonanco) >obl (s <case terapevtskim <amod nihanjem)) >punct ."	
30	ssj3.8.30	Naprava BICOM je torej nekakšna zbirka impulzov, oblikovanih v zdravilne programe, ki pospešujejo zdravljenje in normalizacijo presnovnih procesov v telesu, toda na koncu je vseeno od človeka, ki upravlja z aparatom, in od njegovih izkušenj odvisno, ali bo pravilno postavil diagnozo in izbral pravi program za bolnika.	54	54	yes	4.07	4.065217391304348	4.07	yes	1.41	1.4077332124930835	1.41	yes	10	10	yes	6.00	6	yes	3.00	3	yes	2.00	2.0	2.00	yes	A[Naprava] B[BICOM] C[je] D[torej] E[nekakšna] F[zbirka] G[impulzov]H[,] I[oblikovanih] J[v] K[zdravilne] L[programe]M[,] N[ki] O[pospešujejo] P[zdravljenje] Q[in] R[normalizacijo] S[presnovnih] T[procesov] U[v] V[telesu]W[,] X[toda] Y[na] Z[koncu] A[je] B[vseeno] C[od] D[človeka]E[,] F[ki] G[upravlja] H[z] I[aparatom]J[,] K[in] L[od] M[njegovih] N[izkušenj] O[odvisno]P[,] Q[ali] R[bo] S[pravilno] T[postavil] U[diagnozo] V[in] W[izbral] X[pravi] Y[program] Z[za] A[bolnika]B[.] 	(Naprava >nmod BICOM) <nsubj je <cop torej <advmod nekakšna <det zbirka >nmod (impulzov >amod (, <punct oblikovanih >nmod (v <case zdravilne <amod programe >acl (, <punct ki <mark pospešujejo >obj (zdravljenje >conj (in <cc normalizacijo >nmod (presnovnih <amod procesov >nmod (v <case telesu)))) >punct ,)))) >conj (toda <cc (na <case koncu) <obl je <cop vseeno <advmod (od <case človeka >acl (, <punct ki <mark upravlja >obl (z <case aparatom) >punct ,) >conj (in <cc od <case njegovih <det izkušenj)) <obl odvisno >csubj (, <punct ali <mark bo <aux pravilno <advmod postavil >obj diagnozo >conj (in <cc izbral >obj (pravi <amod program >nmod (za <case bolnika))))) >punct .	
31	ssj3.9.31	Območje medenice je središče telesa, glavna peč, ki greje in uravnava vse telo, zato bi moralo biti vedno toplo.	23	23	yes	2.50	2.5	2.50	yes	1.22	1.2220423276338725	1.22	yes	6	6	yes	5.00	5	yes	3.00	3	yes	1.67	1.6666666666666667	1.67	yes	A[Območje] B[medenice] C[je] D[središče] E[telesa]F[,] G[glavna] H[peč]I[,] J[ki] K[greje] L[in] M[uravnava] N[vse] O[telo]P[,] Q[zato] R[bi] S[moralo] T[biti] U[vedno] V[toplo]W[.] 	(Območje >nmod medenice) <nsubj je <cop središče >nmod telesa >appos (, <punct glavna <amod peč >acl (, <punct ki <mark greje >conj (in <cc uravnava >obj (vse <det telo)) >punct ,)) >conj (zato <cc bi <aux moralo >xcomp (biti <cop vedno <advmod toplo)) >punct .	
32	ssj3.9.32	Pri menstruacijskih bolečinah pogosto zaleže, če ženska na medenico položi topel termofor, popije vroč ognjičev čaj, se sprosti ali zaspi.	24	24	yes	3.05	3.0526315789473686	3.05	yes	1.16	1.1609344144202915	1.16	yes	5	5	yes	5.00	5	yes	4.00	4	yes	1.25	1.25	1.25	yes	A[Pri] B[menstruacijskih] C[bolečinah] D[pogosto] E[zaleže]F[,] G[če] H[ženska] I[na] J[medenico] K[položi] L[topel] M[termofor]N[,] O[popije] P[vroč] Q[ognjičev] R[čaj]S[,] T[se] U[sprosti] V[ali] W[zaspi]X[.] 	(Pri <case menstruacijskih <amod bolečinah) <obl pogosto <advmod zaleže >csubj (, <punct če <mark ženska <nsubj (na <case medenico) <obl položi >obj (topel <amod termofor) >conj (, <punct popije >obj (vroč <amod ognjičev <amod čaj)) >conj (, <punct se <expl sprosti) >conj (ali <cc zaspi)) >punct .	
33	ssj3.9.33	Dolgoročno gledano ne bo noben analgetik odpravil vozličkov, zaprtja in blokade tega območja.	15	15	yes	2.17	2.1666666666666665	2.17	yes	1.44	1.4422185111881751	1.44	yes	5	5	yes	1.00	1	yes	1.00	1	yes	1.00	1.0	1.00	yes	A[Dolgoročno] B[gledano] C[ne] D[bo] E[noben] F[analgetik] G[odpravil] H[vozličkov]I[,] J[zaprtja] K[in] L[blokade] M[tega] N[območja]O[.] 	(Dolgoročno <advmod gledano) <advmod ne <advmod bo <aux (noben <det analgetik) <nsubj odpravil >obj (vozličkov >conj (, <punct zaprtja) >conj (in <cc blokade >nmod (tega <det območja))) >punct .	
