row_no,sent_id,sentence,STARK Number of nodes,SyntComplex # tokens,nodes match?,STARK MDD,SyntComplex MDD raw,SyntComplex MDD rounded like STARK,MDD match?,STARK NDD,SyntComplex NDD raw,SyntComplex NDD rounded like STARK,NDD match?,STARK Max depth,SyntComplex MAXIMUM_TREE_DEPTH,Max depth match?,STARK N clauses,SyntComplex # clauses,N clauses match?,STARK N T-units,SyntComplex # T-units,N T-units match?,STARK Clauses/T-unit,SyntComplex Clauses/T-unit raw,SyntComplex Clauses/T-unit rounded like STARK,Clauses/T-unit match?,STARK example,STARK tree,mismatch note
11,ssj488.2612.9296,"Naša podjetja velikokrat potrebujejo delavce le za štiri ure, ki jih po veljavni zakonodaji ne moremo zaposliti.",19,19,yes,2.88,2.875,2.88,yes,1.02,1.0233888674305223,1.02,yes,6,6,yes,3.00,3,yes,1.00,1,yes,3.00,3.0,3.00,yes,"A[Naša] B[podjetja] C[velikokrat] D[potrebujejo] E[delavce] F[le] G[za] H[štiri] I[ure]J[,] K[ki] L[jih] M[po] N[veljavni] O[zakonodaji] P[ne] Q[moremo] R[zaposliti]S[.] ","(Naša <det podjetja) <nsubj velikokrat <advmod potrebujejo >obj (delavce >nmod (za <case štiri <nummod ure) >acl (, <punct ki <mark ne <advmod moremo >xcomp (jih <obj (po <case veljavni <amod zakonodaji) <obl zaposliti))) >advmod le >punct .",
12,ssj488.2612.9297,Nova zakonodaja bi morala slediti evropskim smernicam in omogočiti to regulacijo.,12,12,yes,1.60,1.6,1.60,yes,1.37,1.3744360978112327,1.37,yes,5,5,yes,3.00,3,yes,2.00,2,yes,1.50,1.5,1.50,yes,A[Nova] B[zakonodaja] C[bi] D[morala] E[slediti] F[evropskim] G[smernicam] H[in] I[omogočiti] J[to] K[regulacijo]L[.] ,(Nova <amod zakonodaja) <nsubj bi <aux morala >xcomp (slediti >obj (evropskim <amod smernicam) >conj (in <cc omogočiti >obj (to <det regulacijo))) >punct .,
13,ssj488.2612.9298,Pri tem moram izpostaviti odgovornost za opravljeno oziroma neopravljeno delo.,11,11,yes,2.22,2.2222222222222223,2.22,yes,0.85,0.8494107367843928,0.85,yes,7,7,yes,2.00,2,yes,1.00,1,yes,2.00,2.0,2.00,yes,A[Pri] B[tem] C[moram] D[izpostaviti] E[odgovornost] F[za] G[opravljeno] H[oziroma] I[neopravljeno] J[delo]K[.] ,moram >xcomp ((Pri <case tem) <obl izpostaviti >obj (odgovornost >nmod (za <case (opravljeno >conj (oziroma <cc neopravljeno)) <amod delo))) >punct .,
14,ssj488.2612.9299,"Zakonodaja mora urejati tudi izredne razmere, v nasprotju z dosedanjo prakso, ko je vlada za vsak primer sprejemala interventne zakone.",23,23,yes,2.68,2.6842105263157894,2.68,yes,0.83,0.8314064263053076,0.83,yes,7,7,yes,3.00,3,yes,1.00,1,yes,3.00,3.0,3.00,yes,"A[Zakonodaja] B[mora] C[urejati] D[tudi] E[izredne] F[razmere]G[,] H[v] I[nasprotju] J[z] K[dosedanjo] L[prakso]M[,] N[ko] O[je] P[vlada] Q[za] R[vsak] S[primer] T[sprejemala] U[interventne] V[zakone]W[.] ","Zakonodaja <nsubj mora >xcomp (urejati >obj (tudi <advmod izredne <amod razmere) >obl (, <punct v <case nasprotju >nmod (z <case dosedanjo <amod prakso >acl (, <punct ko <mark je <aux vlada <nsubj (za <case vsak <det primer) <obl sprejemala >obj (interventne <amod zakone))))) >punct .",
15,ssj488.2613.9300,"6. člen Uporabniki ob prodaji blaga končnemu potrošniku v primeru, da ta ob nakupu blaga ne vrne prazne embalaže, zaračunajo kavcijsko vrednost vračljive embalaže, ki vključuje tudi veljavno stopnjo DDV.",34,34,yes,4.24,4.241379310344827,4.24,yes,1.78,1.7842806162864515,1.78,yes,5,5,yes,3.00,3,yes,1.00,1,yes,3.00,3.0,3.00,yes,"A[6.] B[člen] C[Uporabniki] D[ob] E[prodaji] F[blaga] G[končnemu] H[potrošniku] I[v] J[primeru]K[,] L[da] M[ta] N[ob] O[nakupu] P[blaga] Q[ne] R[vrne] S[prazne] T[embalaže]U[,] V[zaračunajo] W[kavcijsko] X[vrednost] Y[vračljive] Z[embalaže]A[,] B[ki] C[vključuje] D[tudi] E[veljavno] F[stopnjo] G[DDV]H[.] ","(6. <nummod člen) <parataxis Uporabniki <nsubj (ob <case prodaji >nmod blaga >nmod (končnemu <amod potrošniku)) <obl (v <case primeru >acl (, <punct da <mark ta <nsubj (ob <case nakupu >nmod blaga) <obl ne <advmod vrne >obj (prazne <amod embalaže) >punct ,)) <obl zaračunajo >obj (kavcijsko <amod vrednost >nmod (vračljive <amod embalaže) >acl (, <punct ki <mark vključuje >obj (tudi <advmod veljavno <amod stopnjo >nmod DDV))) >punct .",
16,ssj488.2613.9301,"Iz računa, ki ga uporabniki izdajo končnim potrošnikom, je razvidna plačana kavcijska vrednost embalaže.",17,17,yes,2.54,2.5384615384615383,2.54,yes,1.59,1.593369799619825,1.59,yes,5,5,yes,2.00,2,yes,1.00,1,yes,2.00,2.0,2.00,yes,"A[Iz] B[računa]C[,] D[ki] E[ga] F[uporabniki] G[izdajo] H[končnim] I[potrošnikom]J[,] K[je] L[razvidna] M[plačana] N[kavcijska] O[vrednost] P[embalaže]Q[.] ","(Iz <case računa >acl (, <punct ki <mark ga <obj uporabniki <nsubj izdajo >iobj (končnim <amod potrošnikom) >punct ,)) <obl je <cop razvidna >nsubj (plačana <amod kavcijska <amod vrednost >nmod embalaže) >punct .",
17,ssj488.2613.9302,"Uporabniki so dolžni od končnih potrošnikov sprejeti nepoškodovano in uporabno embalažo, pri čemer se tem povrne plačana kavcijska vrednost.",21,21,yes,2.89,2.888888888888889,2.89,yes,0.93,0.9336200625968746,0.93,yes,6,6,yes,3.00,3,yes,2.00,2,yes,1.50,1.5,1.50,yes,"A[Uporabniki] B[so] C[dolžni] D[od] E[končnih] F[potrošnikov] G[sprejeti] H[nepoškodovano] I[in] J[uporabno] K[embalažo]L[,] M[pri] N[čemer] O[se] P[tem] Q[povrne] R[plačana] S[kavcijska] T[vrednost]U[.] ","so <cop dolžni >xcomp (Uporabniki <nsubj (od <case končnih <amod potrošnikov) <obl sprejeti >obj ((nepoškodovano >conj (in <cc uporabno)) <amod embalažo)) >parataxis (, <punct (pri <case čemer) <obl se <expl tem <obj povrne >nsubj (plačana <amod kavcijska <amod vrednost)) >punct .",
18,ssj488.2614.9303,Oddelek za mednarodno sodelovanje je v sodelovanju z OZ Maribor na začetku decembra pripravil posvet Kako poslovati z Albanijo.,20,20,yes,2.83,2.8333333333333335,2.83,yes,1.72,1.7232606689275507,1.72,yes,5,5,yes,2.00,2,yes,1.00,1,yes,2.00,2.0,2.00,yes,A[Oddelek] B[za] C[mednarodno] D[sodelovanje] E[je] F[v] G[sodelovanju] H[z] I[OZ] J[Maribor] K[na] L[začetku] M[decembra] N[pripravil] O[posvet] P[Kako] Q[poslovati] R[z] S[Albanijo]T[.] ,(Oddelek >nmod (za <case mednarodno <amod sodelovanje)) <nsubj je <aux (v <case sodelovanju >nmod (z <case OZ >nmod Maribor)) <obl (na <case začetku >nmod decembra) <obl pripravil >obj (posvet >acl (Kako <advmod poslovati >obl (z <case Albanijo))) >punct .,
19,ssj488.2614.9304,Njihovo gospodarsko in politično situacijo je predstavil veleposlanik Daut Gumeni.,11,11,yes,1.78,1.7777777777777777,1.78,yes,1.50,1.4962032182922045,1.50,yes,5,5,yes,1.00,1,yes,1.00,1,yes,1.00,1.0,1.00,yes,A[Njihovo] B[gospodarsko] C[in] D[politično] E[situacijo] F[je] G[predstavil] H[veleposlanik] I[Daut] J[Gumeni]K[.] ,(Njihovo <det (gospodarsko >conj (in <cc politično)) <amod situacijo) <obj je <aux predstavil >nsubj (veleposlanik >nmod (Daut >flat Gumeni)) >punct .,
20,ssj488.2614.9305,"Poudaril je postopno izboljšanje ekonomskega položaja in umiritev notranjepolitičnih razmer, po nedavnih parlamentarnih volitvah.",16,16,yes,2.54,2.5384615384615383,2.54,yes,0.35,0.3509164747258248,0.35,yes,5,5,yes,1.00,1,yes,1.00,1,yes,1.00,1.0,1.00,yes,"A[Poudaril] B[je] C[postopno] D[izboljšanje] E[ekonomskega] F[položaja] G[in] H[umiritev] I[notranjepolitičnih] J[razmer]K[,] L[po] M[nedavnih] N[parlamentarnih] O[volitvah]P[.] ","Poudaril >aux je >obj (postopno <amod izboljšanje >nmod (ekonomskega <amod položaja) >conj (in <cc umiritev >nmod (notranjepolitičnih <amod razmer)) >nmod (, <punct po <case nedavnih <amod parlamentarnih <amod volitvah)) >punct .",
21,ssj488.2614.9306,"Slovenski gospodarstveniki pravijo, da kljub nekaterim oviram vidijo možnosti sodelovanja.",12,12,yes,2.00,2.0,2.00,yes,0.95,0.9547712524422192,0.95,yes,4,4,yes,2.00,2,yes,1.00,1,yes,2.00,2.0,2.00,yes,"A[Slovenski] B[gospodarstveniki] C[pravijo]D[,] E[da] F[kljub] G[nekaterim] H[oviram] I[vidijo] J[možnosti] K[sodelovanja]L[.] ","(Slovenski <amod gospodarstveniki) <nsubj pravijo >ccomp (, <punct da <mark (kljub <case nekaterim <det oviram) <obl vidijo >obj (možnosti >nmod sodelovanja)) >punct .",
22,ssj488.2614.9307,"Med drugim pogrešajo predstavništvo, ki bi v Albaniji zastopalo njihove interese.",13,13,yes,2.10,2.1,2.10,yes,0.96,0.9586613461017003,0.96,yes,5,5,yes,2.00,2,yes,1.00,1,yes,2.00,2.0,2.00,yes,"A[Med] B[drugim] C[pogrešajo] D[predstavništvo]E[,] F[ki] G[bi] H[v] I[Albaniji] J[zastopalo] K[njihove] L[interese]M[.] ","(Med <case drugim) <obl pogrešajo >obj (predstavništvo >acl (, <punct ki <mark bi <aux (v <case Albaniji) <obl zastopalo >obj (njihove <det interese))) >punct .",
23,ssj488.2615.9308,"Prevozniki nižajo stroške amortizacije, zato je zaznati zastarelost voznega parka.",12,12,yes,1.56,1.5555555555555556,1.56,yes,1.00,1.003353126669043,1.00,yes,6,6,yes,3.00,3,yes,2.00,2,yes,1.50,1.5,1.50,yes,"A[Prevozniki] B[nižajo] C[stroške] D[amortizacije]E[,] F[zato] G[je] H[zaznati] I[zastarelost] J[voznega] K[parka]L[.] ","Prevozniki <nsubj nižajo >obj (stroške >nmod amortizacije) >conj (, <punct zato <cc je >csubj (zaznati >obj (zastarelost >nmod (voznega <amod parka)))) >punct .",
24,ssj488.2615.9309,"Kljub striktnemu zmanjševanju števila registriranih linij iz leta v leto narašča delež stroškov goriva in maziva, ki so lani znašala že petino vseh stroškov.",26,26,yes,1.91,1.9130434782608696,1.91,yes,2.12,2.117999326374649,2.12,yes,9,9,yes,2.00,2,yes,1.00,1,yes,2.00,2.0,2.00,yes,"A[Kljub] B[striktnemu] C[zmanjševanju] D[števila] E[registriranih] F[linij] G[iz] H[leta] I[v] J[leto] K[narašča] L[delež] M[stroškov] N[goriva] O[in] P[maziva]Q[,] R[ki] S[so] T[lani] U[znašala] V[že] W[petino] X[vseh] Y[stroškov]Z[.] ","(Kljub <case striktnemu <amod zmanjševanju >nmod (števila >nmod (registriranih <amod linij))) <obl (iz <case leta) <obl (v <case leto) <obl narašča >nsubj (delež >nmod (stroškov >nmod (goriva >conj (in <cc maziva >acl (, <punct ki <mark so <aux lani <advmod znašala >obl (že <advmod petino >nmod (vseh <det stroškov))))))) >punct .",
25,ssj488.2615.9310,"Nerentabilne so linije predvsem v obrobnih občinah (nižja gostota prebivalstva), na Štajerskem, v Zasavju, Prekmurju, na Koroškem, Dolenjskem, v Litiji (primestni promet), Beli Krajini in Črnomlju (slabo razvito območje).",43,43,yes,6.46,6.464285714285714,6.46,yes,0.20,0.2001902660030199,0.20,yes,6,6,yes,1.00,1,yes,1.00,1,yes,1.00,1.0,1.00,yes,"A[Nerentabilne] B[so] C[linije] D[predvsem] E[v] F[obrobnih] G[občinah] H[(]I[nižja] J[gostota] K[prebivalstva]L[)]M[,] N[na] O[Štajerskem]P[,] Q[v] R[Zasavju]S[,] T[Prekmurju]U[,] V[na] W[Koroškem]X[,] Y[Dolenjskem]Z[,] A[v] B[Litiji] C[(]D[primestni] E[promet]F[)]G[,] H[Beli] I[Krajini] J[in] K[Črnomlju] L[(]M[slabo] N[razvito] O[območje]P[)]Q[.] ","Nerentabilne >cop so >nsubj linije >obl (predvsem <advmod v <case obrobnih <amod občinah >appos (( <punct nižja <amod gostota >nmod prebivalstva >punct )) >conj (, <punct na <case Štajerskem) >conj (, <punct v <case Zasavju) >conj (, <punct Prekmurju) >conj (, <punct na <case Koroškem) >conj (, <punct Dolenjskem) >conj (, <punct v <case Litiji >appos (( <punct primestni <amod promet >punct ))) >conj (, <punct Beli <amod Krajini) >conj (in <cc Črnomlju >appos (( <punct (slabo <advmod razvito) <amod območje >punct )))) >punct .",
26,ssj488.2615.9311,"Linije so nerentabilne predvsem v popoldanskem in večernem času, ob sobotah in nedeljah ter izven konic.",18,18,yes,2.80,2.8,2.80,yes,0.87,0.8737118277040018,0.87,yes,5,5,yes,1.00,1,yes,1.00,1,yes,1.00,1.0,1.00,yes,"A[Linije] B[so] C[nerentabilne] D[predvsem] E[v] F[popoldanskem] G[in] H[večernem] I[času]J[,] K[ob] L[sobotah] M[in] N[nedeljah] O[ter] P[izven] Q[konic]R[.] ","Linije <nsubj so <cop nerentabilne >obl (predvsem <advmod v <case (popoldanskem >conj (in <cc večernem)) <amod času >conj (, <punct ob <case sobotah >conj (in <cc nedeljah)) >conj (ter <cc izven <case konic)) >punct .",
27,ssj488.2616.9312,Prijave za izpitne roke iz tujega jezika II sprejemamo: za mesec maj od 20. 4. do 7. 5. 2001 za mesec oktober od 3. 9. do 18. 9. 2001,30,30,yes,3.68,3.6785714285714284,3.68,yes,1.46,1.4621900657012799,1.46,yes,5,5,yes,1.00,1,yes,1.00,1,yes,1.00,1.0,1.00,yes,A[Prijave] B[za] C[izpitne] D[roke] E[iz] F[tujega] G[jezika] H[II] I[sprejemamo]J[:] K[za] L[mesec] M[maj] N[od] O[20.] P[4.] Q[do] R[7.] S[5.] T[2001] U[za] V[mesec] W[oktober] X[od] Y[3.] Z[9.] A[do] B[18.] C[9.] D[2001] ,(Prijave >nmod (za <case izpitne <amod roke >nmod (iz <case tujega <amod jezika >nummod II))) <obj sprejemamo >obl (: <punct za <case mesec >nmod maj) >obl (od <case 20. >flat 4.) >obl (do <case 7. >flat 5. >flat 2001) >obl (za <case mesec >nmod oktober) >obl (od <case 3. >flat 9.) >obl (do <case 18. >flat 9. >flat 2001),
28,ssj488.2617.9313,Najprej analiza podatkov Petrol je lani sedmič zapored pripravil letno poročilo v obliki publikacije.,15,15,yes,2.31,2.3076923076923075,2.31,yes,0.79,0.7928002448101223,0.79,yes,5,5,yes,2.00,2,yes,2.00,2,yes,1.00,1.0,1.00,yes,A[Najprej] B[analiza] C[podatkov] D[Petrol] E[je] F[lani] G[sedmič] H[zapored] I[pripravil] J[letno] K[poročilo] L[v] M[obliki] N[publikacije]O[.] ,Najprej <orphan analiza >nmod podatkov >parataxis (Petrol <nsubj je <aux lani <advmod (sedmič <advmod zapored) <advmod pripravil >obj (letno <amod poročilo >nmod (v <case obliki >nmod publikacije))) >punct .,
29,ssj488.2617.9314,"Vsebina poslovnega poročila, ki je namenjeno strokovnjakom, ni identična vsebini letnega poročila, ki ga pripravljamo za širšo javnost.",22,22,yes,2.29,2.2941176470588234,2.29,yes,1.79,1.785206006353863,1.79,yes,6,6,yes,3.00,3,yes,1.00,1,yes,3.00,3.0,3.00,yes,"A[Vsebina] B[poslovnega] C[poročila]D[,] E[ki] F[je] G[namenjeno] H[strokovnjakom]I[,] J[ni] K[identična] L[vsebini] M[letnega] N[poročila]O[,] P[ki] Q[ga] R[pripravljamo] S[za] T[širšo] U[javnost]V[.] ","(Vsebina >nmod (poslovnega <amod poročila >acl (, <punct ki <mark je <cop namenjeno >obj strokovnjakom >punct ,))) <nsubj ni <cop identična >obj (vsebini >nmod (letnega <amod poročila >acl (, <punct ki <mark ga <obj pripravljamo >obl (za <case širšo <amod javnost)))) >punct .",
30,ssj488.2617.9315,"V prvem primeru so podatki bolj podrobni, manj je splošnih pojasnil za bralce, ki Petrol poznajo le od zunaj.",22,22,yes,1.94,1.9444444444444444,1.94,yes,1.75,1.75316464988249,1.75,yes,7,7,yes,3.00,3,yes,2.00,2,yes,1.50,1.5,1.50,yes,"A[V] B[prvem] C[primeru] D[so] E[podatki] F[bolj] G[podrobni]H[,] I[manj] J[je] K[splošnih] L[pojasnil] M[za] N[bralce]O[,] P[ki] Q[Petrol] R[poznajo] S[le] T[od] U[zunaj]V[.] ","(V <case prvem <amod primeru) <obl so <cop podatki <nsubj bolj <advmod podrobni >parataxis (, <punct manj <obl je >nsubj (splošnih <amod pojasnil >nmod (za <case bralce >acl (, <punct ki <mark Petrol <obj poznajo >advmod le >advmod (od <case zunaj))))) >punct .",
31,ssj488.2617.9316,Zato sta struktura in slog pisanja poročila drugačna.,9,9,yes,3.29,3.2857142857142856,3.29,yes,0.82,0.8230917784937383,0.82,yes,5,5,yes,1.00,1,yes,1.00,1,yes,1.00,1.0,1.00,yes,A[Zato] B[sta] C[struktura] D[in] E[slog] F[pisanja] G[poročila] H[drugačna]I[.] ,Zato <cc sta <cop (struktura >conj (in <cc slog >nmod (pisanja >nmod poročila))) <nsubj drugačna >punct .,
32,ssj488.2617.9317,"Poslovno poročilo je prilagojeno strokovnjakom, letno pa tistim, ki pričakujejo splošne informacije o družbi.",17,17,yes,1.62,1.6153846153846154,1.62,yes,1.50,1.4960487790288273,1.50,yes,7,7,yes,2.00,2,yes,1.00,1,yes,2.00,2.0,2.00,yes,"A[Poslovno] B[poročilo] C[je] D[prilagojeno] E[strokovnjakom]F[,] G[letno] H[pa] I[tistim]J[,] K[ki] L[pričakujejo] M[splošne] N[informacije] O[o] P[družbi]Q[.] ","(Poslovno <amod poročilo) <nsubj je <cop prilagojeno >obj strokovnjakom >parataxis (, <punct letno >orphan pa >orphan (tistim >acl (, <punct ki <mark pričakujejo >obj (splošne <amod informacije >nmod (o <case družbi))))) >punct .",
33,ssj488.2617.9318,"Tako različnih zahtev v enem dokumentu ni mogoče združiti, je pojasnila Irena Čebulj, svetovalka za odnose z javnostmi v Petrolu.",23,23,yes,2.05,2.0526315789473686,2.05,yes,1.79,1.792817593459932,1.79,yes,7,7,yes,3.00,3,yes,2.00,2,yes,1.50,1.5,1.50,yes,"A[Tako] B[različnih] C[zahtev] D[v] E[enem] F[dokumentu] G[ni] H[mogoče] I[združiti]J[,] K[je] L[pojasnila] M[Irena] N[Čebulj]O[,] P[svetovalka] Q[za] R[odnose] S[z] T[javnostmi] U[v] V[Petrolu]W[.] ","ni <cop mogoče >csubj (((Tako <advmod različnih) <amod zahtev) <obj (v <case enem <nummod dokumentu) <obl združiti) >parataxis (, <punct je <aux pojasnila >nsubj (Irena >flat Čebulj >appos (, <punct svetovalka >nmod (za <case odnose >nmod (z <case javnostmi)) >nmod (v <case Petrolu)))) >punct .",
