Tree	Absolute frequency	Relative frequency	Order	Number of nodes	Head node	Example	MDD	NDD	Max depth	N clauses	N T-units	Clauses/T-unit
Kaj <obj to <nsubj pomeni >punct ?	2	9.3	ABCD	4	pomeni	A[Kaj] B[to] C[pomeni]D[?] 	1.50	0.49	2	1.00	1.00	1.00
Ne >punct .	2	9.3	AB	2	Ne	A[Ne]B[.] 	0.00	0.00	2	1.00	1.00	1.00
Oba <nsubj sva >expl se >punct .	2	9.3	ABCD	4	sva	A[Oba] B[sva] C[se]D[.] 	1.00	0.69	2	1.00	1.00	1.00
Pogledal >aux je >obl (na <case uro) >punct .	2	9.3	ABCDE	5	Pogledal	A[Pogledal] B[je] C[na] D[uro]E[.] 	1.67	0.04	3	1.00	1.00	1.00
» <punct Ne >punct .	2	9.3	ABC	3	Ne	A[»]B[Ne]C[.] 	0.00	0.00	2	1.00	1.00	1.00
""" <punct (Da >punct ,) <discourse vem >punct ."	1	4.6	ABCDE	5	vem	"A[""]B[Da]C[,] D[vem]E[.] "	2.00	0.00	3	1.00	1.00	1.00
""" <punct (Davčna <amod uprava) <nsubj nima >obj (naših <det ' <punct fotk >punct ') >parataxis (, <punct (za <case druge) <obl pa <advmod ni <cop važno) >discourse (, <punct ha) >discourse (, <punct ha) >discourse (, <punct ha) >punct , >punct "" >parataxis (so <aux se <expl smejali >advcl (, <punct ko <mark smo <aux jih <obj prestregli >obl (med <case treningom >nmod (po <case Rožniku)))) >punct ."	1	4.6	ABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHI	35	nima	"A[""]B[Davčna] C[uprava] D[nima] E[naših] F[']G[fotk]H[']I[,] J[za] K[druge] L[pa] M[ni] N[važno]O[,] P[ha]Q[,] R[ha]S[,] T[ha]U[,]V[""] W[so] X[se] Y[smejali]Z[,] A[ko] B[smo] C[jih] D[prestregli] E[med] F[treningom] G[po] H[Rožniku]I[.] "	4.65	0.72	6	4.00	3.00	1.33
""" <punct (Dejstvo >acl (, <punct da <mark so <aux se <expl (predlagatelji >nmod (vlade >nmod (dr. <nmod Andreja >flat Bajuka))) <nsubj odločili >obl (za <case tožbo) >punct ,)) <nsubj pove >obj (več <det stvari) >punct ."	1	4.6	ABCDEFGHIJKLMNOPQRS	19	pove	"A[""]B[Dejstvo]C[,] D[da] E[so] F[se] G[predlagatelji] H[vlade] I[dr.] J[Andreja] K[Bajuka] L[odločili] M[za] N[tožbo]O[,] P[pove] Q[več] R[stvari]S[.] "	4.36	1.23	7	2.00	1.00	2.00
""" <punct (Dodatna <amod pojasnila) <obj dobite >obl (na <case telefonu >nummod (802 >conj (- <punct 175))) >punct ."	1	4.6	ABCDEFGHIJ	10	dobite	"A[""] B[Dodatna] C[pojasnila] D[dobite] E[na] F[telefonu] G[802]H[-] I[175]J[.] "	1.33	1.30	5	1.00	1.00	1.00
""" <punct (Dušan >flat Šešok) <nsubj je <aux medtem <advmod igral >obj (kadrovske <amod igrice) >parataxis (, <punct menjaval >obj direktorje >advcl (, <punct dokler <mark se <expl ni <aux pojavil >nsubj (uspešni <amod Boštjan >flat Šoba >acl (, <punct ki <mark je <aux (z <case novimi <amod posli) <obl (v <case kratkem <amod času) <obl dosegel >obj (zaslužek >nmod podjetja >nmod (v <case višini >nmod (milijon <nmod mark))))))) >punct ."	1	4.6	ABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJ	36	igral	"A[""]B[Dušan] C[Šešok] D[je] E[medtem] F[igral] G[kadrovske] H[igrice]I[,] J[menjaval] K[direktorje]L[,] M[dokler] N[se] O[ni] P[pojavil] Q[uspešni] R[Boštjan] S[Šoba]T[,] U[ki] V[je] W[z] X[novimi] Y[posli] Z[v] A[kratkem] B[času] C[dosegel] D[zaslužek] E[podjetja] F[v] G[višini] H[milijon] I[mark]J[.] "	2.60	1.64	9	4.00	2.00	2.00
""" <punct (En <nummod sam <amod napad) <obl smo <aux predolgo <advmod vztrajali >obl (na <case conski <amod obrambi) >punct ."	1	4.6	ABCDEFGHIJK	11	vztrajali	"A[""]B[En] C[sam] D[napad] E[smo] F[predolgo] G[vztrajali] H[na] I[conski] J[obrambi]K[.] "	1.88	1.38	3	1.00	1.00	1.00
""" <punct (Fini <amod gospod) <nsubj noče >xcomp ((svoji <det materi) <iobj pokazati >ccomp (, <punct kje <advmod se <expl je <aux poškodoval)) >punct ? >punct """	1	4.6	ABCFDEGHIJKLMN	14	noče	"A[""]B[Fini] C[gospod] D[svoji] E[materi] F[noče] G[pokazati]H[,] I[kje] J[se] K[je] L[poškodoval]M[?] N[""] "	2.11	1.25	4	3.00	1.00	3.00
""" <punct (Gospa >amod Stepperjeva >conj (in <cc jest)) <nsubj mor'va >xcomp (skuhat >punct ' >obj kosilo) >punct ."	1	4.6	ABCDEFGHIJ	10	mor'va	"A[""]B[Gospa] C[Stepperjeva] D[in] E[jest] F[mor'va] G[skuhat]H['] I[kosilo]J[.] "	2.00	1.10	4	2.00	1.00	2.00
""" <punct (Ja >punct ,) <discourse sem >punct ."	1	4.6	ABCDE	5	sem	"A[""]B[Ja]C[,] D[sem]E[.] "	2.00	0.00	3	1.00	1.00	1.00
""" <punct (Kdo >conj (ali <cc kaj)) <nsubj je <cop jugonostalgik >punct ?"	1	4.6	ABCDEFG	7	jugonostalgik	"A[""]B[Kdo] C[ali] D[kaj] E[je] F[jugonostalgik]G[?] "	2.00	0.90	4	1.00	1.00	1.00
""" <punct (Ko <mark (predlagatelji >nmod (Bajukove <amod vlade)) <nsubj ocenjujejo >ccomp (, <punct da <mark ne <advmod morejo >xcomp ((v <case državnem <amod zboru) <obl doseči >obj ((več >fixed kot) <advmod 45 <nummod glasov >appos (, <punct torej <cc glas >advmod premalo >punct ,))))) <advcl se <expl zatekajo >obl (na <case vrhovno <amod sodišče >acl (, <punct kjer <mark skušajo >xcomp (najti >obj (tisto >acl (, <punct česar <obj (v <case državnem <amod zboru) <obl niso <aux dobili))))) >punct , >punct "" >parataxis (je <aux dejal >nsubj Golobič) >punct ."	1	4.6	ABCDEFGHLMIJKNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRST	46	zatekajo	"A[""]B[Ko] C[predlagatelji] D[Bajukove] E[vlade] F[ocenjujejo]G[,] H[da] I[v] J[državnem] K[zboru] L[ne] M[morejo] N[doseči] O[več] P[kot] Q[45] R[glasov]S[,] T[torej] U[glas] V[premalo]W[,] X[se] Y[zatekajo] Z[na] A[vrhovno] B[sodišče]C[,] D[kjer] E[skušajo] F[najti] G[tisto]H[,] I[česar] J[v] K[državnem] L[zboru] M[niso] N[dobili]O[,]P[""] Q[je] R[dejal] S[Golobič]T[.] "	3.19	2.24	8	8.00	2.00	4.00
""" <punct (Na <case splošno) <obl govori >obl (o <case uvedbi >nmod postopkov) >nsubj (že <advmod zakon >nmod (o <case prekrških)) >parataxis (, <punct (v <case tem <det konkretnem <amod primeru) <obl pa <advmod to <obj obravnava >nsubj (29. <nummod člen >nmod (zakona >nmod (o <case računskem <amod sodišču)))) >punct ."	1	4.6	ABCDEFGHIJKLMNOPQRSTUVWXYZ	26	govori	"A[""]B[Na] C[splošno] D[govori] E[o] F[uvedbi] G[postopkov] H[že] I[zakon] J[o] K[prekrških]L[,] M[v] N[tem] O[konkretnem] P[primeru] Q[pa] R[to] S[obravnava] T[29.] U[člen] V[zakona] W[o] X[računskem] Y[sodišču]Z[.] "	2.36	1.38	6	2.00	2.00	1.00
""" <punct (Na <case to) <obl sem <aux vam <iobj že <advmod odgovoril >obl (s <case trditvijo >acl (, <punct da <mark je <cop država <nsubj prenormirana >conj (in <cc zbirokratizirana))) >punct ."	1	4.6	ABCDEFGHIJKLMNOPQ	17	odgovoril	"A[""]B[Na] C[to] D[sem] E[vam] F[že] G[odgovoril] H[s] I[trditvijo]J[,] K[da] L[je] M[država] N[prenormirana] O[in] P[zbirokratizirana]Q[.] "	2.15	1.49	5	2.00	1.00	2.00
""" <punct (Neka <det druga <amod gospa >nmod (v <case srednjih <amod letih) >acl (, <punct ki <mark je <aux (po <case končani <amod izmeni) <obl (na <case parkirišču) <obl čakala >obl (na <case prevoz) >punct ,)) <nsubj je <aux bila <cop videti >advcl (bolj <advmod mirna) >punct ."	1	4.6	ABCDEFGHIJKLMNOPQRSTUVWXY	25	videti	"A[""] B[Neka] C[druga] D[gospa] E[v] F[srednjih] G[letih]H[,] I[ki] J[je] K[po] L[končani] M[izmeni] N[na] O[parkirišču] P[čakala] Q[na] R[prevoz]S[,] T[je] U[bila] V[videti] W[bolj] X[mirna]Y[.] "	3.45	1.81	5	2.00	1.00	2.00
""" <punct (Nič <nmod porednega) <nsubj nisem <aux počel >obl (z <case mamo) >advcl (, <punct ko <mark sem <aux bil >advmod doma) >punct ."	1	4.6	ABCDEFGHIJKLM	13	počel	"A[""]B[Nič] C[porednega] D[nisem] E[počel] F[z] G[mamo]H[,] I[ko] J[sem] K[bil] L[doma]M[.] "	1.89	1.27	3	2.00	1.00	2.00
""" <punct (Njena <det sodelavka) <nsubj pa <advmod je <aux že <advmod poštudirala >ccomp (, <punct (v <case kakšno <det zgodbi) <obl se <expl je <aux znašla) >punct ."	1	4.6	ABCDEFGHIJKLMNO	15	poštudirala	"A[""] B[Njena] C[sodelavka] D[pa] E[je] F[že] G[poštudirala]H[,] I[v] J[kakšno] K[zgodbi] L[se] M[je] N[znašla]O[.] "	2.45	1.27	4	2.00	1.00	2.00
""" <punct (Njene <det specialitete) <nsubj so <cop lazanje >conj (in <cc krofi) >parataxis (, <punct prisega >advmod pa >obl (tudi <advmod na <case dobre <amod domače <amod pečenke)) >punct ."	1	4.6	ABCDEFGHIJKLMNOP	16	lazanje	"A[""] B[Njene] C[specialitete] D[so] E[lazanje] F[in] G[krofi]H[,] I[prisega] J[pa] K[tudi] L[na] M[dobre] N[domače] O[pečenke]P[.] "	2.33	1.20	4	2.00	2.00	1.00
""" <punct (No >punct ,) <discourse H. <nsubj ni <aux prevzel >obl (od <case Anglosasov) >obj ničesar >conj (, <punct (pač >fixed pa) <cc Anglosasi >orphan nekaj >orphan (od <case H.))"	1	4.6	ABCDEFGHIJKLMNOP	16	prevzel	"A[""] B[No]C[,] D[H.] E[ni] F[prevzel] G[od] H[Anglosasov] I[ničesar]J[,] K[pač] L[pa] M[Anglosasi] N[nekaj] O[od] P[H.] "	2.33	1.29	4	1.00	1.00	1.00
""" <punct (Obe <det glasovanji) <nsubj sta <aux bili <cop tajni >conj (in <cc zato <advmod ni <cop znano >csubj (, <punct kako <advmod je <aux Dobrajčeva <nsubj glasovala >advmod prvič >conj (in <cc kako >orphan tokrat))) >punct ."	1	4.6	ABCDEFGHIJKLMNOPQRST	20	tajni	"A[""] B[Obe] C[glasovanji] D[sta] E[bili] F[tajni] G[in] H[zato] I[ni] J[znano]K[,] L[kako] M[je] N[Dobrajčeva] O[glasovala] P[prvič] Q[in] R[kako] S[tokrat]T[.] "	2.12	1.53	5	3.00	2.00	1.50
""" <punct (Po <case maminem <amod mnenju) <obl sem <aux bila <cop deležna >obj (dovolj <det šolanja) >punct ."	1	4.6	ABCDEFGHIJ	10	deležna	"A[""]B[Po] C[maminem] D[mnenju] E[sem] F[bila] G[deležna] H[dovolj] I[šolanja]J[.] "	1.71	1.41	3	1.00	1.00	1.00
""" <punct (Po <case našem <det mnenju) <obl je <aux vlada <nsubj izrazila >obj (pripravljenost >nmod (na <case rešitev >nmod zahtev >nmod (s <case pogajanji))) >punct ."	1	4.6	ABCDEFGHIJKLMN	14	izrazila	"A[""]B[Po] C[našem] D[mnenju] E[je] F[vlada] G[izrazila] H[pripravljenost] I[na] J[rešitev] K[zahtev] L[s] M[pogajanji]N[.] "	1.64	1.68	5	1.00	1.00	1.00
""" <punct (Po <case njej) <obl sem <aux previdno <advmod stopal >obl (v <case črno <amod temo) >conj (in <cc prižgal >obj (ročno <amod baterijsko <amod svetilko)) >punct ."	1	4.6	ABCDEFGHIJKLMNO	15	stopal	"A[""]B[Po] C[njej] D[sem] E[previdno] F[stopal] G[v] H[črno] I[temo] J[in] K[prižgal] L[ročno] M[baterijsko] N[svetilko]O[.] "	2.08	1.40	4	2.00	2.00	1.00
""" <punct (Pri <case čustveni <amod ugrabitvi) <obl gre >obl (za <case zlitost >nmod (s <case čustvom)) >parataxis (( <punct "" <punct Jaz <nsubj sem <cop jezen >punct "" >parataxis (, <punct "" <punct Jaz <nsubj sem <cop žalostna >punct "") >punct . >punct . >punct . >parataxis (, <punct "" <punct Jaz <nsubj sem <cop čustvo >punct "") >punct )) >parataxis (, <punct (če <mark pa <advmod uporabimo >obj (pot >nmod zavedanja) >punct ,) <advcl lahko <advmod se <expl distanciramo >parataxis (( <punct jaz >orphan (na <case eni <nummod strani) >conj (in <cc čustvo >orphan (na <case drugi)) >punct )) >parataxis (, <punct kar <nsubj nam <iobj omogoča >ccomp (, <punct da <mark se <expl ravnamo >obl (na <case podlagi >nmod (prepoznanja >nmod (dejanskega <amod stanja >conj (in <cc ne <advmod čustva))))))) >punct ."	1	4.6	ABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOP	68	gre	"A[""] B[Pri] C[čustveni] D[ugrabitvi] E[gre] F[za] G[zlitost] H[s] I[čustvom] J[(]K[""]L[Jaz] M[sem] N[jezen]O[""]P[,] Q[""]R[Jaz] S[sem] T[žalostna]U[""]V[.]W[.]X[.]Y[,] Z[""]A[Jaz] B[sem] C[čustvo]D[""]E[)]F[,] G[če] H[pa] I[uporabimo] J[pot] K[zavedanja]L[,] M[lahko] N[se] O[distanciramo] P[(]Q[jaz] R[na] S[eni] T[strani] U[in] V[čustvo] W[na] X[drugi]Y[)]Z[,] A[kar] B[nam] C[omogoča]D[,] E[da] F[se] G[ravnamo] H[na] I[podlagi] J[prepoznanja] K[dejanskega] L[stanja] M[in] N[ne] O[čustva]P[.] "	3.33	1.52	9	8.00	6.00	1.33
""" <punct (S <case pojmi >acl (, <punct kot <mark so <cop "" <punct wofasept >punct "" >conj (, <punct vhodna <amod vratca >punct "") >conj (, <punct "" <punct inficiranje >punct "") >conj (, <punct "" <punct bakterije >punct "") >conj (in <cc "" <punct jodova <amod tinktura >punct "") >punct ,)) <obl sem <aux bil <cop seznanjen >advmod (dovolj <advmod zgodaj) >advcl (, <punct da <mark bi <aux lahko <advmod ocenil >ccomp (, <punct kako <advmod riskanten >aux je >cop bil >nsubj (porod >nmod (na <case mizi >nmod (v <case dnevni <amod sobi))) >parataxis (, <punct ob <case tem >orphan še >orphan (v <case poletni <amod noči) >orphan (na <case deželi) >parataxis (, <punct obdan >obl (z <case muhami >acl (, <punct "" <punct (o <case katerih) <obl (živ <amod krst) <nsubj ne <advmod more >xcomp (vedeti >ccomp (, <punct kje <advmod so <aux sedele >advmod (malo <advmod prej))) >punct "")))))) >punct ."	1	4.6	ABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZ	78	seznanjen	"A[""] B[S] C[pojmi]D[,] E[kot] F[so] G[""]H[wofasept]I[""]J[,] K[vhodna] L[vratca]M[""]N[,] O[""]P[inficiranje]Q[""]R[,] S[""]T[bakterije]U[""] V[in] W[""]X[jodova] Y[tinktura]Z[""]A[,] B[sem] C[bil] D[seznanjen] E[dovolj] F[zgodaj]G[,] H[da] I[bi] J[lahko] K[ocenil]L[,] M[kako] N[riskanten] O[je] P[bil] Q[porod] R[na] S[mizi] T[v] U[dnevni] V[sobi]W[,] X[ob] Y[tem] Z[še] A[v] B[poletni] C[noči] D[na] E[deželi]F[,] G[obdan] H[z] I[muhami]J[,] K[""]L[o] M[katerih] N[živ] O[krst] P[ne] Q[more] R[vedeti]S[,] T[kje] U[so] V[sedele] W[malo] X[prej]Y[""]Z[.] "	3.55	2.42	11	7.00	1.00	7.00
""" <punct (Tako <advmod ostro) <advmod je <obj niso <aux označili >nsubj (niti <advmod liberalci) >parataxis (; <punct mislili >advmod pa >aux so >expl si >obj (približno <advmod isto)) >punct ."	1	4.6	ABCDEFGHIJKLMNOP	16	označili	"A[""] B[Tako] C[ostro] D[je] E[niso] F[označili] G[niti] H[liberalci]I[;] J[mislili] K[pa] L[so] M[si] N[približno] O[isto]P[.] "	2.17	1.37	4	2.00	2.00	1.00
""" <punct (Tistega <det večera) <obl sem <aux preveč <advmod popil >parataxis (, <punct zgodilo >expl se >aux je >obl (mesec >nmod dni >nmod (po <case tem >acl (, <punct ko <mark sem <aux izvedel >ccomp (, <punct da <mark me <obj žena <nsubj vara))))) >punct ."	1	4.6	ABCDEFGHIJKLMNOPQRSTUVWX	24	popil	"A[""]B[Tistega] C[večera] D[sem] E[preveč] F[popil]G[,] H[zgodilo] I[se] J[je] K[mesec] L[dni] M[po] N[tem]O[,] P[ko] Q[sem] R[izvedel]S[,] T[da] U[me] V[žena] W[vara]X[.] "	2.11	1.59	7	4.00	2.00	2.00
""" <punct (V <case 17. <nummod stoletju) <obl so <aux se <expl (mnogi <det ruski <amod pravoslavci) <nsubj uprli >obj (vplivu >nmod (grškega <amod (, <punct (v <case obredju) <nmod prenovljenega) <amod krščanstva)) >punct ."	1	4.6	ABCDEFGHIJKLMNOPQR	18	uprli	"A[""]B[V] C[17.] D[stoletju] E[so] F[se] G[mnogi] H[ruski] I[pravoslavci] J[uprli] K[vplivu] L[grškega]M[,] N[v] O[obredju] P[prenovljenega] Q[krščanstva]R[.] "	2.64	1.50	6	1.00	1.00	1.00
""" <punct (V <case areni) <obl se <expl vam <iobj ponujajo >nsubj (številne <amod priložnosti) >punct ."	1	4.6	ABCDEFGHI	9	ponujajo	"A[""]B[V] C[areni] D[se] E[vam] F[ponujajo] G[številne] H[priložnosti]I[.] "	1.67	1.28	3	1.00	1.00	1.00
""" <punct (V <case eni) <obl leži >obl (ob <case meni >nmod (v <case postelji)) >advcl (, <punct pokrit >obl (z <case odejo)) >punct ."	1	4.6	ABCDEFGHIJKLM	13	leži	"A[""]B[V] C[eni] D[leži] E[ob] F[meni] G[v] H[postelji]I[,] J[pokrit] K[z] L[odejo]M[.] "	1.89	1.16	4	1.00	1.00	1.00
""" <punct (V <case nekdanji <amod Jugoslaviji) <obl (denarja >nmod (za <case trenersko <amod usposabljanje)) <obj ni <aux manjkalo >parataxis (, <punct (tudi <advmod sam) <obl sem <aux se <expl tako <advmod usposabljal >obl (na <case Japonskem)) >punct ."	1	4.6	ABCDEFGHIJKLMNOPQRST	20	manjkalo	"A[""]B[V] C[nekdanji] D[Jugoslaviji] E[denarja] F[za] G[trenersko] H[usposabljanje] I[ni] J[manjkalo]K[,] L[tudi] M[sam] N[sem] O[se] P[tako] Q[usposabljal] R[na] S[Japonskem]T[.] "	2.62	1.57	4	2.00	2.00	1.00
""" <punct (V <case spominu >nmod (folkloristov >conj (in <cc Metličanov))) <obl so <aux ostale >nsubj (tudi <advmod prireditve >nmod ("" <punct Razkošje >nmod (v <case stelji) >punct "")) >punct ."	1	4.6	ABCDEFGHIJKLMNOP	16	ostale	"A[""] B[V] C[spominu] D[folkloristov] E[in] F[Metličanov] G[so] H[ostale] I[tudi] J[prireditve] K[""]L[Razkošje] M[v] N[stelji]O[""]P[.] "	1.73	1.69	5	1.00	1.00	1.00
""" <punct (V <case teh <det težkih <amod časih) <obl mi <iobj je <aux stala >obl (ob <case strani) >parataxis (, <punct podarila >advmod pa >iobj mi >aux je >obj (tudi <advmod Alice)) >punct ."	1	4.6	ABCDEFGHIJKLMNOPQR	18	stala	"A[""]B[V] C[teh] D[težkih] E[časih] F[mi] G[je] H[stala] I[ob] J[strani]K[,] L[podarila] M[pa] N[mi] O[je] P[tudi] Q[Alice]R[.] "	2.21	1.56	4	2.00	2.00	1.00
""" <punct (Še <advmod pes) <nsubj ima >advmod rad >obj mir >obl (pri <case jedi) >punct , >punct "" >parataxis (je <aux menda <advmod dejal >nsubj (Janez >flat Janša) >iobj (podjetniku >nmod (Milanu >flat Šercerju)) >conj (- <punct in <cc poskušal >xcomp (tako <advmod (z <case nezmotljivim <amod političnim <amod instinktom) <obl zajeti >obl (v <case svoja <det jadra) >obj (vsaj <advmod del >nmod (širokega <amod ljudskega <amod nezaupanja >nmod (do <case (takšnih >conj (in <cc drugačnih)) <det "" <punct paparazzov >punct "")))))) >punct ."	1	4.6	ABCDEFGHIJKLMNOPQRSTZUVWXYABCDEFGHIJKLMNOPQ	43	ima	"A[""]B[Še] C[pes] D[ima] E[rad] F[mir] G[pri] H[jedi]I[,]J[""] K[je] L[menda] M[dejal] N[Janez] O[Janša] P[podjetniku] Q[Milanu] R[Šercerju] S[-] T[in] U[tako] V[z] W[nezmotljivim] X[političnim] Y[instinktom] Z[poskušal] A[zajeti] B[v] C[svoja] D[jadra] E[vsaj] F[del] G[širokega] H[ljudskega] I[nezaupanja] J[do] K[takšnih] L[in] M[drugačnih] N[""]O[paparazzov]P[""]Q[.] "	2.83	1.43	10	4.00	3.00	1.33
""" <punct Absurdno >cop je >csubj (, <punct da <mark (mladi <amod igralci) <nsubj (sedem <nummod let) <obl niso <aux dobili >obj priložnosti) >punct ."	1	4.6	ABCDEFGHIJKLM	13	Absurdno	"A[""]B[Absurdno] C[je]D[,] E[da] F[mladi] G[igralci] H[sedem] I[let] J[niso] K[dobili] L[priložnosti]M[.] "	2.89	0.38	4	2.00	1.00	2.00
""" <punct Alice >appos (, <punct sestro >nmod dvojčico >nmod (umrlega <amod Ricarda)) >punct ."	1	4.6	ABCDEFGH	8	Alice	"A[""] B[Alice]C[,] D[sestro] E[dvojčico] F[umrlega] G[Ricarda]H[.] "	1.75	0.48	4	1.00	1.00	1.00
""" <punct Dost <advmod imam >obj (tega <det sranja) >parataxis (, <punct zdaj <advmod mi <obj boste <aux pa <advmod (še <advmod vi) <nsubj tle <advmod težili) >punct , >punct "" >parataxis (nas <obj je <aux (v <case obupu) <obl odpravila >nsubj (mlajša <amod delavka)) >punct ."	1	4.6	ABCDEFGHIJKLMNOPQRSTUVWX	24	imam	"A[""]B[Dost] C[imam] D[tega] E[sranja]F[,] G[zdaj] H[mi] I[boste] J[pa] K[še] L[vi] M[tle] N[težili]O[,]P[""] Q[nas] R[je] S[v] T[obupu] U[odpravila] V[mlajša] W[delavka]X[.] "	3.94	0.62	4	3.00	3.00	1.00
""" <punct Francozi <nsubj so <aux (po <case njegovem <det mnenju) <obl igrali >advmod dobro >obl (tudi <advmod v <case obrambi) >punct ."	1	4.6	ABCDEFGHIJKL	12	igrali	"A[""] B[Francozi] C[so] D[po] E[njegovem] F[mnenju] G[igrali] H[dobro] I[tudi] J[v] K[obrambi]L[.] "	2.33	1.22	3	1.00	1.00	1.00
""" <punct Hotela >aux je >xcomp (odgrniti >obj odejo >conj (, <punct vendar <cc sem <aux jo <obj trdno <advmod držal)) >punct ."	1	4.6	ABCDEFGHIJKL	12	Hotela	"A[""] B[Hotela] C[je] D[odgrniti] E[odejo]F[,] G[vendar] H[sem] I[jo] J[trdno] K[držal]L[.] "	2.62	0.42	4	3.00	2.00	1.50
""" <punct Imamo >obj ((mlado >conj (in <cc ambiciozno)) <amod moštvo >acl (, <punct ki <mark zna >xcomp (igrati >obj nogomet))) >punct ."	1	4.6	ABCDEFGHIJKL	12	Imamo	"A[""]B[Imamo] C[mlado] D[in] E[ambiciozno] F[moštvo]G[,] H[ki] I[zna] J[igrati] K[nogomet]L[.] "	2.00	0.69	5	3.00	1.00	3.00
""" <punct Kakšna <det škoda >punct , >punct "" >parataxis (je <aux rekla >nsubj (gospa >nmod Rapallo)) >advcl (, <punct "" <punct ker <mark je <aux bila <cop Glorija <nsubj samozavestna <amod ženska >conj (in <cc je <aux imela >obj (svoj <det slog >nmod (v <case pisanju >nmod pisem)))) >punct ."	1	4.6	ABCDEFGHIJKLMNOPQRSTUVWXYZ	26	škoda	"A[""]B[Kakšna] C[škoda]D[,]E[""] F[je] G[rekla] H[gospa] I[Rapallo]J[,] K[""]L[ker] M[je] N[bila] O[Glorija] P[samozavestna] Q[ženska] R[in] S[je] T[imela] U[svoj] V[slog] W[v] X[pisanju] Y[pisem]Z[.] "	2.63	1.05	6	4.00	3.00	1.33
""" <punct Madame >flat ne >flat mangera >flat pas >flat de >flat marrons >flat glacés >punct ? >punct "" >parataxis (se <expl je <aux zarežal >nsubj (le >flat petit)) >punct ."	1	4.6	ABCDEFGHIJKLMNOP	16	Madame	"A[""]B[Madame] C[ne] D[mangera] E[pas] F[de] G[marrons] H[glacés]I[?] J[""] K[se] L[je] M[zarežal] N[le] O[petit]P[.] "	3.36	0.33	4	2.00	2.00	1.00
