sent_id	metric	stark_value	syntcomplex_value	syntcomplex_formatted	delta_stark_display_minus_syntcomplex_raw	mismatch_type	stark_tree	stark_example
ssj133.853.3273	MDD	0.00	n/a	n/a		na_vs_numeric	Jakomin >punct - >punct ) >punct .	A[Jakomin] B[-]C[)]D[.] 
ssj133.853.3273	NDD	0.00	n/a	n/a		na_vs_numeric	Jakomin >punct - >punct ) >punct .	A[Jakomin] B[-]C[)]D[.] 
ssj133.870.3339	MDD	0.00	n/a	n/a		na_vs_numeric	Vsekakor >punct .	A[Vsekakor]B[.] 
ssj133.870.3339	NDD	0.00	n/a	n/a		na_vs_numeric	Vsekakor >punct .	A[Vsekakor]B[.] 
ssj133.874.3347	MDD	0.00	n/a	n/a		na_vs_numeric	Drži >punct .	A[Drži]B[.] 
ssj133.874.3347	NDD	0.00	n/a	n/a		na_vs_numeric	Drži >punct .	A[Drži]B[.] 
ssj142.918.3512	MDD	0.00	n/a	n/a		na_vs_numeric	Logično >punct !	A[Logično]B[!] 
ssj142.918.3512	NDD	0.00	n/a	n/a		na_vs_numeric	Logično >punct !	A[Logično]B[!] 
ssj142.918.3515	MDD	0.00	n/a	n/a		na_vs_numeric	Hvala >punct .	A[Hvala]B[.] 
ssj142.918.3515	NDD	0.00	n/a	n/a		na_vs_numeric	Hvala >punct .	A[Hvala]B[.] 
ssj142.926.3540	MDD	0.00	n/a	n/a		na_vs_numeric	Hvala >punct .	A[Hvala]B[.] 
ssj142.926.3540	NDD	0.00	n/a	n/a		na_vs_numeric	Hvala >punct .	A[Hvala]B[.] 
ssj142.928.3548	MDD	0.00	n/a	n/a		na_vs_numeric	Prosim >punct .	A[Prosim]B[.] 
ssj142.928.3548	NDD	0.00	n/a	n/a		na_vs_numeric	Prosim >punct .	A[Prosim]B[.] 
ssj144.989.3734	MDD	0.00	n/a	n/a		na_vs_numeric	» <punct Počakajte >punct ! >punct «	A[»]B[Počakajte]C[!] D[«] 
ssj144.989.3734	NDD	0.00	n/a	n/a		na_vs_numeric	» <punct Počakajte >punct ! >punct «	A[»]B[Počakajte]C[!] D[«] 
ssj172.1180.4309	MDD	0.00	n/a	n/a		na_vs_numeric	( <punct ng >punct )	A[(]B[ng]C[)] 
ssj172.1180.4309	NDD	0.00	n/a	n/a		na_vs_numeric	( <punct ng >punct )	A[(]B[ng]C[)] 
ssj192.1257.4560	MDD	0.00	n/a	n/a		na_vs_numeric	( <punct gm >punct )	A[(]B[gm]C[)] 
ssj192.1257.4560	NDD	0.00	n/a	n/a		na_vs_numeric	( <punct gm >punct )	A[(]B[gm]C[)] 
ssj193.1284.4641	MDD	0.00	n/a	n/a		na_vs_numeric	» <punct Da >punct .	A[»]B[Da]C[.] 
ssj193.1284.4641	NDD	0.00	n/a	n/a		na_vs_numeric	» <punct Da >punct .	A[»]B[Da]C[.] 
ssj193.1290.4665	MDD	0.00	n/a	n/a		na_vs_numeric	Premisli >punct .	A[Premisli]B[.] 
ssj193.1290.4665	NDD	0.00	n/a	n/a		na_vs_numeric	Premisli >punct .	A[Premisli]B[.] 
ssj204.1368.4970	MDD	0.00	n/a	n/a		na_vs_numeric	( <punct dm >punct )	A[(]B[dm]C[)] 
ssj204.1368.4970	NDD	0.00	n/a	n/a		na_vs_numeric	( <punct dm >punct )	A[(]B[dm]C[)] 
ssj21.100.423	MDD	0.00	n/a	n/a		na_vs_numeric	» <punct Ne >punct .	A[»]B[Ne]C[.] 
ssj21.100.423	NDD	0.00	n/a	n/a		na_vs_numeric	» <punct Ne >punct .	A[»]B[Ne]C[.] 
ssj21.102.432	MDD	0.00	n/a	n/a		na_vs_numeric	Poglejte >punct … >punct «	A[Poglejte] B[…] C[«] 
ssj21.102.432	NDD	0.00	n/a	n/a		na_vs_numeric	Poglejte >punct … >punct «	A[Poglejte] B[…] C[«] 
ssj21.106.449	MDD	0.00	n/a	n/a		na_vs_numeric	» <punct Ne >punct .	A[»]B[Ne]C[.] 
ssj21.106.449	NDD	0.00	n/a	n/a		na_vs_numeric	» <punct Ne >punct .	A[»]B[Ne]C[.] 
ssj211.1399.5074	MDD	0.00	n/a	n/a		na_vs_numeric	Zakaj >punct ?	A[Zakaj]B[?] 
ssj211.1399.5074	NDD	0.00	n/a	n/a		na_vs_numeric	Zakaj >punct ?	A[Zakaj]B[?] 
ssj214.1415.5147	MDD	0.00	n/a	n/a		na_vs_numeric	( <punct mgl >punct )	A[(]B[mgl]C[)] 
ssj214.1415.5147	NDD	0.00	n/a	n/a		na_vs_numeric	( <punct mgl >punct )	A[(]B[mgl]C[)] 
ssj214.1417.5156	MDD	0.00	n/a	n/a		na_vs_numeric	( <punct ap >punct )	A[(]B[ap]C[)] 
ssj214.1417.5156	NDD	0.00	n/a	n/a		na_vs_numeric	( <punct ap >punct )	A[(]B[ap]C[)] 
ssj215.1433.5191	MDD	0.00	n/a	n/a		na_vs_numeric	Ljubljana >punct .	A[Ljubljana]B[.] 
ssj215.1433.5191	NDD	0.00	n/a	n/a		na_vs_numeric	Ljubljana >punct .	A[Ljubljana]B[.] 
ssj216.1436.5203	MDD	0.00	n/a	n/a		na_vs_numeric	( <punct ng >punct )	A[(]B[ng]C[)] 
ssj216.1436.5203	NDD	0.00	n/a	n/a		na_vs_numeric	( <punct ng >punct )	A[(]B[ng]C[)] 
ssj216.1438.5213	MDD	0.00	n/a	n/a		na_vs_numeric	( <punct f >punct )	A[(]B[f]C[)] 
ssj216.1438.5213	NDD	0.00	n/a	n/a		na_vs_numeric	( <punct f >punct )	A[(]B[f]C[)] 
ssj22.110.474	MDD	0.00	n/a	n/a		na_vs_numeric	Amen >punct .	A[Amen]B[.] 
ssj22.110.474	NDD	0.00	n/a	n/a		na_vs_numeric	Amen >punct .	A[Amen]B[.] 
ssj220.1452.5270	MDD	0.00	n/a	n/a		na_vs_numeric	( <punct on >punct )	A[(]B[on]C[)] 
ssj220.1452.5270	NDD	0.00	n/a	n/a		na_vs_numeric	( <punct on >punct )	A[(]B[on]C[)] 
ssj231.1537.5564	MDD	0.00	n/a	n/a		na_vs_numeric	Grozljivka >punct .	A[Grozljivka]B[.] 
ssj231.1537.5564	NDD	0.00	n/a	n/a		na_vs_numeric	Grozljivka >punct .	A[Grozljivka]B[.] 
ssj279.1729.6126	MDD	0.00	n/a	n/a		na_vs_numeric	( <punct pa >punct )	A[(]B[pa]C[)] 
ssj279.1729.6126	NDD	0.00	n/a	n/a		na_vs_numeric	( <punct pa >punct )	A[(]B[pa]C[)] 
ssj289.1770.6295	MDD	0.00	n/a	n/a		na_vs_numeric	( <punct gm >punct )	A[(]B[gm]C[)] 
ssj289.1770.6295	NDD	0.00	n/a	n/a		na_vs_numeric	( <punct gm >punct )	A[(]B[gm]C[)] 
ssj289.1771.6297	MDD	0.00	n/a	n/a		na_vs_numeric	( <punct uš >punct )	A[(]B[uš]C[)] 
ssj289.1771.6297	NDD	0.00	n/a	n/a		na_vs_numeric	( <punct uš >punct )	A[(]B[uš]C[)] 
ssj32.191.774	MDD	0.00	n/a	n/a		na_vs_numeric	""" <punct Seveda >punct ."	"A[""]B[Seveda]C[.] "
ssj32.191.774	NDD	0.00	n/a	n/a		na_vs_numeric	""" <punct Seveda >punct ."	"A[""]B[Seveda]C[.] "
ssj338.1984.7049	MDD	0.00	n/a	n/a		na_vs_numeric	( <punct Kristina >punct )	A[(]B[Kristina]C[)] 
ssj338.1984.7049	NDD	0.00	n/a	n/a		na_vs_numeric	( <punct Kristina >punct )	A[(]B[Kristina]C[)] 
ssj344.2008.7134	MDD	0.00	n/a	n/a		na_vs_numeric	( <punct mk >punct )	A[(]B[mk]C[)] 
ssj344.2008.7134	NDD	0.00	n/a	n/a		na_vs_numeric	( <punct mk >punct )	A[(]B[mk]C[)] 
ssj36.213.876	MDD	0.00	n/a	n/a		na_vs_numeric	Zero >punct .	A[Zero]B[.] 
ssj36.213.876	NDD	0.00	n/a	n/a		na_vs_numeric	Zero >punct .	A[Zero]B[.] 
ssj36.213.877	MDD	0.00	n/a	n/a		na_vs_numeric	Nada >punct .	A[Nada]B[.] 
ssj36.213.877	NDD	0.00	n/a	n/a		na_vs_numeric	Nada >punct .	A[Nada]B[.] 
ssj360.2075.7348	MDD	0.00	n/a	n/a		na_vs_numeric	( <punct mu >punct )	A[(]B[mu]C[)] 
ssj360.2075.7348	NDD	0.00	n/a	n/a		na_vs_numeric	( <punct mu >punct )	A[(]B[mu]C[)] 
ssj366.2097.7437	MDD	0.00	n/a	n/a		na_vs_numeric	( <punct sta >punct )	A[(]B[sta]C[)] 
ssj366.2097.7437	NDD	0.00	n/a	n/a		na_vs_numeric	( <punct sta >punct )	A[(]B[sta]C[)] 
ssj370.2116.7518	MDD	0.00	n/a	n/a		na_vs_numeric	— <punct Ne >punct !	A[—] B[Ne]C[!] 
ssj370.2116.7518	NDD	0.00	n/a	n/a		na_vs_numeric	— <punct Ne >punct !	A[—] B[Ne]C[!] 
ssj382.2176.7729	MDD	0.00	n/a	n/a		na_vs_numeric	( <punct sp >punct )	A[(]B[sp]C[)] 
ssj382.2176.7729	NDD	0.00	n/a	n/a		na_vs_numeric	( <punct sp >punct )	A[(]B[sp]C[)] 
ssj383.2180.7738	MDD	0.00	n/a	n/a		na_vs_numeric	( <punct tt >punct )	A[(]B[tt]C[)] 
ssj383.2180.7738	NDD	0.00	n/a	n/a		na_vs_numeric	( <punct tt >punct )	A[(]B[tt]C[)] 
ssj40.238.953	MDD	0.00	n/a	n/a		na_vs_numeric	( <punct kg >punct )	A[(]B[kg]C[)] 
ssj40.238.953	NDD	0.00	n/a	n/a		na_vs_numeric	( <punct kg >punct )	A[(]B[kg]C[)] 
ssj40.239.956	MDD	0.00	n/a	n/a		na_vs_numeric	( <punct es >punct )	A[(]B[es]C[)] 
ssj40.239.956	NDD	0.00	n/a	n/a		na_vs_numeric	( <punct es >punct )	A[(]B[es]C[)] 
ssj409.2273.8028	MDD	0.00	n/a	n/a		na_vs_numeric	( <punct sta >punct )	A[(]B[sta]C[)] 
ssj409.2273.8028	NDD	0.00	n/a	n/a		na_vs_numeric	( <punct sta >punct )	A[(]B[sta]C[)] 
ssj42.255.1018	MDD	0.00	n/a	n/a		na_vs_numeric	( <punct ar >punct )	A[(]B[ar]C[)] 
ssj42.255.1018	NDD	0.00	n/a	n/a		na_vs_numeric	( <punct ar >punct )	A[(]B[ar]C[)] 
ssj42.257.1029	MDD	0.00	n/a	n/a		na_vs_numeric	Neuspešno >punct !	A[Neuspešno]B[!] 
ssj42.257.1029	NDD	0.00	n/a	n/a		na_vs_numeric	Neuspešno >punct !	A[Neuspešno]B[!] 
ssj438.2408.8459	MDD	0.00	n/a	n/a		na_vs_numeric	( <punct sta >punct )	A[(]B[sta]C[)] 
ssj438.2408.8459	NDD	0.00	n/a	n/a		na_vs_numeric	( <punct sta >punct )	A[(]B[sta]C[)] 
ssj44.264.1058	MDD	0.00	n/a	n/a		na_vs_numeric	( <punct dc >punct )	A[(]B[dc]C[)] 
ssj44.264.1058	NDD	0.00	n/a	n/a		na_vs_numeric	( <punct dc >punct )	A[(]B[dc]C[)] 
ssj440.2410.8466	MDD	0.00	n/a	n/a		na_vs_numeric	( <punct ab >punct )	A[(]B[ab]C[)] 
ssj440.2410.8466	NDD	0.00	n/a	n/a		na_vs_numeric	( <punct ab >punct )	A[(]B[ab]C[)] 
ssj46.300.1219	MDD	0.00	n/a	n/a		na_vs_numeric	Delavnost >punct .	A[Delavnost]B[.] 
ssj46.300.1219	NDD	0.00	n/a	n/a		na_vs_numeric	Delavnost >punct .	A[Delavnost]B[.] 
ssj46.307.1249	MDD	0.00	n/a	n/a		na_vs_numeric	Poletje >punct .	A[Poletje]B[.] 
ssj46.307.1249	NDD	0.00	n/a	n/a		na_vs_numeric	Poletje >punct .	A[Poletje]B[.] 
ssj5.25.82	MDD	0.00	n/a	n/a		na_vs_numeric	( <punct pj >punct )	A[(]B[pj]C[)] 
ssj5.25.82	NDD	0.00	n/a	n/a		na_vs_numeric	( <punct pj >punct )	A[(]B[pj]C[)] 
ssj54.341.1389	MDD	0.00	n/a	n/a		na_vs_numeric	( <punct mk >punct )	A[(]B[mk]C[)] 
ssj54.341.1389	NDD	0.00	n/a	n/a		na_vs_numeric	( <punct mk >punct )	A[(]B[mk]C[)] 
ssj54.350.1416	MDD	0.00	n/a	n/a		na_vs_numeric	( <punct nv >punct )	A[(]B[nv]C[)] 
ssj54.350.1416	NDD	0.00	n/a	n/a		na_vs_numeric	( <punct nv >punct )	A[(]B[nv]C[)] 
ssj58.357.1433	MDD	0.00	n/a	n/a		na_vs_numeric	Trieste >punct .	A[Trieste]B[.] 
ssj58.357.1433	NDD	0.00	n/a	n/a		na_vs_numeric	Trieste >punct .	A[Trieste]B[.] 
ssj6.32.106	MDD	0.00	n/a	n/a		na_vs_numeric	Ime >punct ?	A[Ime]B[?] 
ssj6.32.106	NDD	0.00	n/a	n/a		na_vs_numeric	Ime >punct ?	A[Ime]B[?] 
ssj6.32.107	MDD	0.00	n/a	n/a		na_vs_numeric	Priimek >punct ?	A[Priimek]B[?] 
ssj6.32.107	NDD	0.00	n/a	n/a		na_vs_numeric	Priimek >punct ?	A[Priimek]B[?] 
ssj6.34.136	MDD	0.00	n/a	n/a		na_vs_numeric	Okrašena >punct .	A[Okrašena]B[.] 
ssj6.34.136	NDD	0.00	n/a	n/a		na_vs_numeric	Okrašena >punct .	A[Okrašena]B[.] 
ssj6.35.164	MDD	0.00	n/a	n/a		na_vs_numeric	Trapa >punct !	A[Trapa]B[!] 
ssj6.35.164	NDD	0.00	n/a	n/a		na_vs_numeric	Trapa >punct !	A[Trapa]B[!] 
ssj6.36.177	MDD	0.00	n/a	n/a		na_vs_numeric	""""	"A[""] "
ssj6.36.177	NDD	0.00	n/a	n/a		na_vs_numeric	""""	"A[""] "
ssj61.376.1503	MDD	0.00	n/a	n/a		na_vs_numeric	Verujte >punct .	A[Verujte]B[.] 
ssj61.376.1503	NDD	0.00	n/a	n/a		na_vs_numeric	Verujte >punct .	A[Verujte]B[.] 
ssj63.392.1552	MDD	0.00	n/a	n/a		na_vs_numeric	( <punct bi >punct )	A[(]B[bi]C[)] 
ssj63.392.1552	NDD	0.00	n/a	n/a		na_vs_numeric	( <punct bi >punct )	A[(]B[bi]C[)] 
ssj68.425.1623	MDD	0.00	n/a	n/a		na_vs_numeric	( <punct rp >punct )	A[(]B[rp]C[)] 
ssj68.425.1623	NDD	0.00	n/a	n/a		na_vs_numeric	( <punct rp >punct )	A[(]B[rp]C[)] 
ssj73.459.1730	MDD	0.00	n/a	n/a		na_vs_numeric	( <punct rš >punct )	A[(]B[rš]C[)] 
ssj73.459.1730	NDD	0.00	n/a	n/a		na_vs_numeric	( <punct rš >punct )	A[(]B[rš]C[)] 
ssj75.471.1764	MDD	0.00	n/a	n/a		na_vs_numeric	""" <punct Ph >punct !"	"A[""]B[Ph]C[!] "
ssj75.471.1764	NDD	0.00	n/a	n/a		na_vs_numeric	""" <punct Ph >punct !"	"A[""]B[Ph]C[!] "
ssj76.497.1862	MDD	0.00	n/a	n/a		na_vs_numeric	Zanosi >punct .	A[Zanosi]B[.] 
ssj76.497.1862	NDD	0.00	n/a	n/a		na_vs_numeric	Zanosi >punct .	A[Zanosi]B[.] 
ssj79.517.1958	MDD	0.00	n/a	n/a		na_vs_numeric	Zakaj >punct ?	A[Zakaj]B[?] 
ssj79.517.1958	NDD	0.00	n/a	n/a		na_vs_numeric	Zakaj >punct ?	A[Zakaj]B[?] 
ssj80.525.1986	MDD	0.00	n/a	n/a		na_vs_numeric	""""	"A[""] "
ssj80.525.1986	NDD	0.00	n/a	n/a		na_vs_numeric	""""	"A[""] "
ssj82.535.2033	MDD	0.00	n/a	n/a		na_vs_numeric	( <punct kh >punct )	A[(]B[kh]C[)] 
ssj82.535.2033	NDD	0.00	n/a	n/a		na_vs_numeric	( <punct kh >punct )	A[(]B[kh]C[)] 
ssj84.554.2101	MDD	0.00	n/a	n/a		na_vs_numeric	Ne >punct .	A[Ne]B[.] 
ssj84.554.2101	NDD	0.00	n/a	n/a		na_vs_numeric	Ne >punct .	A[Ne]B[.] 
ssj85.558.2130	MDD	0.00	n/a	n/a		na_vs_numeric	( <punct ka >punct )	A[(]B[ka]C[)] 
ssj85.558.2130	NDD	0.00	n/a	n/a		na_vs_numeric	( <punct ka >punct )	A[(]B[ka]C[)] 
ssj85.563.2146	MDD	0.00	n/a	n/a		na_vs_numeric	( <punct sz >punct )	A[(]B[sz]C[)] 
ssj85.563.2146	NDD	0.00	n/a	n/a		na_vs_numeric	( <punct sz >punct )	A[(]B[sz]C[)] 
ssj93.612.2321	MDD	0.00	n/a	n/a		na_vs_numeric	Č	A[Č] 
ssj93.612.2321	NDD	0.00	n/a	n/a		na_vs_numeric	Č	A[Č] 
ssj94.620.2358	MDD	0.00	n/a	n/a		na_vs_numeric	Pokima >punct .	A[Pokima]B[.] 
ssj94.620.2358	NDD	0.00	n/a	n/a		na_vs_numeric	Pokima >punct .	A[Pokima]B[.] 
ssj94.620.2360	MDD	0.00	n/a	n/a		na_vs_numeric	Odkima >punct .	A[Odkima]B[.] 
ssj94.620.2360	NDD	0.00	n/a	n/a		na_vs_numeric	Odkima >punct .	A[Odkima]B[.] 
ssj95.622.2375	MDD	0.00	n/a	n/a		na_vs_numeric	Ja >punct .	A[Ja]B[.] 
ssj95.622.2375	NDD	0.00	n/a	n/a		na_vs_numeric	Ja >punct .	A[Ja]B[.] 
ssj98.628.2415	MDD	0.00	n/a	n/a		na_vs_numeric	Zakaj >punct ?	A[Zakaj]B[?] 
ssj98.628.2415	NDD	0.00	n/a	n/a		na_vs_numeric	Zakaj >punct ?	A[Zakaj]B[?] 
ssj98.628.2418	MDD	0.00	n/a	n/a		na_vs_numeric	Seveda >punct .	A[Seveda]B[.] 
ssj98.628.2418	NDD	0.00	n/a	n/a		na_vs_numeric	Seveda >punct .	A[Seveda]B[.] 
ssj98.629.2424	MDD	0.00	n/a	n/a		na_vs_numeric	Absolutno >punct !	A[Absolutno]B[!] 
ssj98.629.2424	NDD	0.00	n/a	n/a		na_vs_numeric	Absolutno >punct !	A[Absolutno]B[!] 
